year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Musgrove, Joe,605397,Pirates,PIT,R,92.7,997,2657,16.40123456790123456,0.37523522770041400,FF,4-Seamer,19.7,-15.8,-3.9,-25,5.2,-6.8,-1.5,-23,0.0581395348837209,0.327906976744186
2019,Quintana, Jose,500779,Cubs,CHC,L,91.4,995,2826,17.44444444444444444,0.35208775654635527,FF,4-Seamer,16.8,-16.6,-0.2,-1,4.4,-6.9,-2.4,-36,0.474418604651163,0.223255813953488
2019,Junis, Jakob,596001,Royals,KC,R,91.7,984,2926,18.06172839506172839,0.33629528366370471,FF,4-Seamer,18.9,-17,-1.9,-11,6,-7.3,-1.3,-18,0.183720930232558,0.353488372093023
2019,Green, Chad,643338,Yankees,NYY,R,96.4,984,1320,8.14814814814814814,0.74545454545454545,FF,4-Seamer,11.9,-14,2,15,6.9,-7.6,-0.7,-9,0.890697674418605,0.390697674418605
2019,Strasburg, Stephen,544931,Nationals,WSH,R,93.9,969,3384,20.88888888888888888,0.28634751773049645,FF,4-Seamer,15.7,-15.1,-0.6,-4,9.6,-7.2,2.4,33,0.376744186046512,0.769767441860465
2019,Plutko, Adam,592644,Indians,CLE,R,91.1,968,1794,11.07407407407407407,0.53957636566332218,FF,4-Seamer,14.8,-17,2.2,13,4.2,-6.7,-2.6,-38,0.923255813953488,0.216279069767442
2019,DeSclafani, Anthony,543101,Reds,CIN,R,94.7,963,2668,16.46913580246913580,0.36094452773613193,FF,4-Seamer,14.3,-15.2,0.9,6,9.6,-7.8,1.8,24,0.7,0.683720930232558
2019,Plesac, Zach,668676,Indians,CLE,R,93.9,957,1892,11.67901234567901234,0.50581395348837209,FF,4-Seamer,14.9,-15.7,0.8,5,9.4,-7.5,1.8,25,0.688372093023256,0.683720930232558
2019,Duffy, Danny,518633,Royals,KC,L,92.3,956,2161,13.33950617283950617,0.44238778343359555,FF,4-Seamer,14.6,-16.1,1.6,10,7.2,-7.2,0.1,1,0.832558139534884,0.5
2019,Wheeler, Zack,554430,Mets,NYM,R,96.8,948,3159,19.50000000000000000,0.30009496676163342,FF,4-Seamer,13.1,-13.5,0.3,3,10.5,-7.3,3.2,45,0.581395348837209,0.841860465116279
2019,Doolittle, Sean,448281,Nationals,WSH,L,93.5,947,1075,6.63580246913580246,0.88093023255813953,FF,4-Seamer,12,-15.9,3.9,25,3.8,-7.5,-3.7,-50,0.997674418604651,0.102325581395349
2019,Hader, Josh,623352,Brewers,MIL,L,95.5,944,1181,7.29012345679012345,0.79932260795935647,FF,4-Seamer,12.5,-15,2.5,16,9.5,-8,1.5,19,0.958139534883721,0.648837209302326
2019,Rodriguez, Richard,593144,Pirates,PIT,R,93.2,942,1162,7.17283950617283950,0.81067125645438898,FF,4-Seamer,16.4,-15.8,-0.7,-4,13.7,-7.3,6.5,89,0.358139534883721,0.990697674418605
2019,Gausman, Kevin,592332,Reds,CIN,R,93.9,938,1671,10.31481481481481481,0.56134051466187911,FF,4-Seamer,15.7,-15.6,-0.1,-1,10.9,-7.5,3.4,46,0.513953488372093,0.865116279069767
2019,Morton, Charlie,450203,Rays,TB,R,94.7,936,3139,19.37654320987654320,0.29818413507486460,FF,4-Seamer,18.3,-15.5,-2.7,-18,13.6,-8.1,5.5,67,0.109302325581395,0.962790697674419
2019,Alcantara, Sandy,645261,Marlins,MIA,R,95.6,933,3091,19.08024691358024691,0.30184406340989970,FF,4-Seamer,15.8,-15,-0.8,-5,9.3,-8,1.3,16,0.341860465116279,0.618604651162791
2019,Fiers, Mike,571666,Athletics,OAK,R,90.4,929,2899,17.89506172839506172,0.32045532942393928,FF,4-Seamer,15.3,-17.3,2,11,9,-6.5,2.5,38,0.890697674418605,0.776744186046512
2019,Marquez, German,608566,Rockies,COL,R,95.7,927,2616,16.14814814814814814,0.35435779816513761,FF,4-Seamer,17.6,-15.2,-2.4,-16,7.3,-7.9,-0.7,-8,0.141860465116279,0.390697674418605
2019,Porcello, Rick,519144,Red Sox,BOS,R,91,920,2960,18.27160493827160493,0.31081081081081081,FF,4-Seamer,17.9,-16.9,-1,-6,9,-6.6,2.4,37,0.311627906976744,0.769767441860465
2019,Snell, Blake,605483,Rays,TB,L,95.5,914,1891,11.67283950617283950,0.48334214701216287,FF,4-Seamer,10.9,-13.1,2.2,16,6.3,-6.3,0,0,0.923255813953488,0.486046511627907
2019,Castillo, Luis,622491,Reds,CIN,R,96.4,913,3158,19.49382716049382716,0.28910702976567447,FF,4-Seamer,18.5,-16,-2.5,-16,13.3,-9.8,3.5,36,0.12093023255814,0.876744186046512
2019,Hendriks, Liam,521230,Athletics,OAK,R,96.5,913,1354,8.35802469135802469,0.67429837518463810,FF,4-Seamer,10.7,-13.7,3,22,5.9,-7.4,-1.5,-20,0.97906976744186,0.327906976744186
2019,Syndergaard, Noah,592789,Mets,NYM,R,97.8,905,3095,19.10493827160493827,0.29240710823909531,FF,4-Seamer,13.8,-12.7,-1.1,-9,6.1,-7.1,-1,-14,0.297674418604651,0.367441860465116
2019,Sale, Chris,519242,Red Sox,BOS,L,93.4,883,2466,15.22222222222222222,0.35806974858069748,FF,4-Seamer,19.7,-16.5,-3.2,-19,14.8,-8.2,6.6,80,0.0837209302325581,0.993023255813953
2019,Eflin, Zach,621107,Phillies,PHI,R,93.8,865,2571,15.87037037037037037,0.33644496304939712,FF,4-Seamer,17.7,-15.6,-2.1,-14,9.3,-7.6,1.7,23,0.16046511627907,0.667441860465116
2019,Lester, Jon,452657,Cubs,CHC,L,90.6,862,3043,18.78395061728395061,0.28327308577062109,FF,4-Seamer,17.8,-17.5,-0.3,-2,7.3,-7.2,0.1,2,0.446511627906977,0.5
2019,Hamels, Cole,430935,Cubs,CHC,L,91.4,849,2394,14.77777777777777777,0.35463659147869674,FF,4-Seamer,17.1,-16.5,-0.6,-4,7.8,-6.6,1.3,19,0.376744186046512,0.618604651162791
2019,Sanchez, Aaron,592717,Astros,HOU,R,93.4,839,2305,14.22839506172839506,0.36399132321041214,FF,4-Seamer,17.3,-15.8,-1.6,-10,13.7,-7.5,6.2,82,0.227906976744186,0.986046511627907
2019,Archer, Chris,502042,Pirates,PIT,R,94.1,837,2098,12.95061728395061728,0.39895138226882745,FF,4-Seamer,13.4,-15.4,2,13,7,-7.3,-0.3,-4,0.890697674418605,0.448837209302326
2019,Estevez, Carlos,608032,Rockies,COL,R,97.8,837,1240,7.65432098765432098,0.67500000000000000,FF,4-Seamer,13.8,-13.5,-0.3,-2,6,-8,-1.9,-24,0.446511627906977,0.283720930232558
2019,Lambert, Peter,663567,Rockies,COL,R,92.7,833,1582,9.76543209876543209,0.52654867256637168,FF,4-Seamer,17.5,-16.2,-1.3,-8,8.1,-7.2,0.9,13,0.255813953488372,0.574418604651163
2019,Samardzija, Jeff,502188,Giants,SF,R,91.6,830,3006,18.55555555555555555,0.27611443779108449,FF,4-Seamer,17.5,-16.7,-0.7,-4,9.7,-7,2.7,39,0.358139534883721,0.806976744186046
2019,Maeda, Kenta,628317,Dodgers,LAD,R,92.1,821,2433,15.01851851851851851,0.33744348540896013,FF,4-Seamer,17.1,-16.8,-0.3,-2,6.9,-7.5,-0.6,-9,0.446511627906977,0.411627906976744
