"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"134",608344,"Cole Irvin","639","21.0","0.333","0.167","0.393","0.500","0.384","0.413","0.349","12","36","87.3","26.3","1971","88.7","87.57","10","70","63","-1.1","5.63","109","151","115","149","302","323","296"
"292",663776,"Patrick Sandoval","714","40.9","0.305","0.271","0.333","0.576","0.413","0.433","0.342","18","59","91.7","12.8","1964","92.9","92.09","19","115","175","-0.8","5.74","113","149","116","147","295","319","288"
"73",518452,"Chad Bettis","1030","7.1","0.333","0.200","0.333","0.533","0.361","0.403","0.373","5","15","98.4","3.1","1959","90.0","89.71","3","28","44","-0.3","5.91","106","148","107","147","305","329","300"
"224",640455,"Sean Manaea","444","50.5","0.151","0.132","0.150","0.283","0.223","0.326","0.253","8","53","88.0","14.8","1957","89.5","90.13","28","111","112","0.6","6.65","112","149","121","151","300","323","296"
"427",605347,"Jorge Lopez","2049","20.8","0.306","0.376","0.266","0.682","0.449","0.440","0.306","26","85","92.8","17.6","1952","94.0","94.08","25","174","252","0.1","6.23","112","153","123","139","302","328","300"
"30",453281,"Wade LeBlanc","1955","1.5","0.500","1.500","0.000","2.000","0.914","0.921","0.661","2","4","98.9","28.8","1947","86.1","85.48","1","7","23","-0.6","5.90","114","156","108","148","292","318","290"
"18",543219,"Sean Gilmartin","68","26.5","1.000","1.400","1.000","2.400","1.367","0.836","0.530","5","5","91.9","24.8","1943","89.6","88.72","1","8","10","-0.9","5.71","100","147","106","147","299","321","306"
"69",621086,"James Marvel","331","20.8","0.176","0.294","0.167","0.471","0.281","0.247","0.195","3","17","83.2","8.2","1882","90.3","88.21","5","34","35","-2.1","4.99","105","151","117","147","305","325","304"
"92",664045,"Thomas Eshelman","609","15.1","0.167","0.056","0.176","0.222","0.182","0.336","0.273","3","18","89.5","18.1","1849","85.3","85.52","6","45","47","0.2","6.29","106","152","118","147","303","330","301"
"274",656954,"Justus Sheffield","673","40.7","0.295","0.180","0.302","0.475","0.377","0.356","0.269","18","61","90.6","6.9","1837","92.8","91.74","16","115","157","-1.1","5.47","105","153","117","147","303","313","286"
"140",607200,"Erick Fedde","1287","10.9","0.333","0.212","0.333","0.545","0.409","0.468","0.375","11","33","92.1","5.3","1780","92.1","92.97","3","55","83","0.9","6.60","111","150","113","147","303","319","296"
